timestamp,OAT,Electricity:Facility [kWh](TimeStep),HVAC_Elec
2023/ 01/04  00:30:00,32.54,1.321369605,1.135687099
2023/ 01/04  00:45:00,32.27,1.352024271,1.166341765
2023/ 01/04  01:00:00,32,1.37907241,1.193389904
2023/ 01/04  01:15:00,31.775,1.396888814,1.225829292
2023/ 01/04  01:30:00,31.55,1.425434868,1.254375347
2023/ 01/04  01:45:00,31.325,1.454036535,1.282977013
2023/ 01/04  02:00:00,31.1,1.482564135,1.311504614
2023/ 01/04  02:15:00,30.83,1.515359403,1.349127714
2023/ 01/04  02:30:00,30.56,1.551746708,1.38551502
2023/ 01/04  02:45:00,30.29,1.589043757,1.422812069
2023/ 01/04  03:00:00,30.02,1.625208125,1.458976436
2023/ 01/04  03:15:00,29.75,2.023693971,1.746748515
2023/ 01/04  03:30:00,29.48,2.023951103,1.745669171
2023/ 01/04  03:45:00,29.21,1.974794018,1.695160246
2023/ 01/04  04:00:00,28.94,1.808908888,1.571244608
2023/ 01/04  04:15:00,28.445,1.575464191,1.403108014
2023/ 01/04  04:30:00,27.95,1.595182641,1.422826464
2023/ 01/04  04:45:00,27.455,1.614687326,1.442331149
2023/ 01/04  05:00:00,26.96,1.630413205,1.458057027
2023/ 01/04  05:15:00,26.735,1.690150608,1.48111332
2023/ 01/04  05:30:00,26.51,1.734377694,1.525340406
2023/ 01/04  05:45:00,26.285,1.781445011,1.572407722
2023/ 01/04  06:00:00,26.06,1.829672249,1.620634961
2023/ 01/04  06:15:00,25.79,1.827584128,1.590489156
2023/ 01/04  06:30:00,25.52,1.802286049,1.565191078
2023/ 01/04  06:45:00,25.25,1.778638215,1.541543243
2023/ 01/04  07:00:00,24.98,1.773841473,1.536746502
2023/ 01/04  07:15:00,24.98,1.824221779,1.562385739
2023/ 01/04  07:30:00,24.98,2.120704017,1.746748515
2023/ 01/04  07:45:00,24.98,2.121238626,1.746748515
2023/ 01/04  08:00:00,24.98,2.121777595,1.746748515
2023/ 01/04  08:15:00,25.25,2.091989896,1.746748515
2023/ 01/04  08:30:00,25.52,2.092484981,1.746748515
2023/ 01/04  08:45:00,25.79,2.065779981,1.719575932
2023/ 01/04  09:00:00,26.06,1.914557376,1.567809787
2023/ 01/04  09:15:00,26.06,1.853802531,1.51890175
2023/ 01/04  09:30:00,26.06,1.668466797,1.367187081
2023/ 01/04  09:45:00,26.06,1.349420301,1.130267603
2023/ 01/04  10:00:00,26.06,1.303488245,1.084335547
2023/ 01/04  10:15:00,26.285,1.252803224,1.029743274
2023/ 01/04  10:30:00,26.51,1.203211548,0.980151598
2023/ 01/04  10:45:00,26.735,1.175573668,0.952513718
2023/ 01/04  11:00:00,26.96,1.157693183,0.934633233
2023/ 01/04  11:15:00,26.96,1.179140708,0.95304326
2023/ 01/04  11:30:00,26.96,1.595897646,1.25802135
2023/ 01/04  11:45:00,26.96,1.617477088,1.278826272
